IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,01,Live animals,A,Annual,A,Annual,USD,US$,2018,,,,44863803.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,010620,Reptiles (including snakes and turtles),A,Annual,A,Annual,USD,US$,2018,,,,22263.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,0106,Other live animals.,A,Annual,A,Annual,USD,US$,2018,,,,44633803.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,010611,Primates,A,Annual,A,Annual,USD,US$,2018,,,,44406575.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,010690,Other,A,Annual,A,Annual,USD,US$,2018,,,,33315.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,02,Meat and edible meat offal,A,Annual,A,Annual,USD,US$,2018,,,,16350515.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2018,,,,2018987506.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,08,Edible fruit and nuts; peel of citrus fruit or melons,A,Annual,A,Annual,USD,US$,2018,,,,189469528.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,10,Cereals,A,Annual,A,Annual,USD,US$,2018,,,,31127122.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2018,,,,878913396.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,18,Cocoa and cocoa preparations,A,Annual,A,Annual,USD,US$,2018,,,,35228212.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,20,"Preparations of vegetables, fruit, nuts or other parts of plants",A,Annual,A,Annual,USD,US$,2018,,,,1254098218.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,29,Organic chemicals,A,Annual,A,Annual,USD,US$,2018,,,,9535554824.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",A,Annual,A,Annual,USD,US$,2018,,,,1688243546.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,156,China,HS,Harmonized System,34,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes",A,Annual,A,Annual,USD,US$,2018,,,,538307492.0
