IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",A,Annual,A,Annual,USD,US$,2018,,,,88087738.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,30,Pharmaceutical products,A,Annual,A,Annual,USD,US$,2018,,,,6325413021.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,43,Furskins and artificial fur; manufactures thereof,A,Annual,A,Annual,USD,US$,2018,,,,4989604.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",A,Annual,A,Annual,USD,US$,2018,,,,63114658.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",A,Annual,A,Annual,USD,US$,2018,,,,202972502.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",A,Annual,A,Annual,USD,US$,2018,,,,1660927926.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",A,Annual,A,Annual,USD,US$,2018,,,,256931606.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,A,Annual,A,Annual,USD,US$,2018,,,,9554762.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",A,Annual,A,Annual,USD,US$,2018,,,,286472532.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,24,Tobacco and manufactured tobacco substitutes,A,Annual,A,Annual,USD,US$,2018,,,,30407304.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,A,Annual,A,Annual,USD,US$,2018,,,,9613076.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,38,Miscellaneous chemical products,A,Annual,A,Annual,USD,US$,2018,,,,398547242.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",A,Annual,A,Annual,USD,US$,2018,,,,96897626.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,A,Annual,A,Annual,USD,US$,2018,,,,15552474.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,69,Ceramic products,A,Annual,A,Annual,USD,US$,2018,,,,77220383.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",A,Annual,A,Annual,USD,US$,2018,,,,3342773171.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,86,"Railway or tramway locomotives, rollingstock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment ",A,Annual,A,Annual,USD,US$,2018,,,,74257879.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",A,Annual,A,Annual,USD,US$,2018,,,,2751792456.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,89,"Ships, boats and floating structures",A,Annual,A,Annual,USD,US$,2018,,,,5507637.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",A,Annual,A,Annual,USD,US$,2018,,,,523480274.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,91,Clocks and watches and parts thereof,A,Annual,A,Annual,USD,US$,2018,,,,4365242.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,93,Arms and ammunition; parts and accessories thereof,A,Annual,A,Annual,USD,US$,2018,,,,48448342.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,0106,Other live animals.,A,Annual,A,Annual,USD,US$,2019,,,,5000.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,010619,Other,A,Annual,A,Annual,USD,US$,2019,,,,5000.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,18,Cocoa and cocoa preparations,A,Annual,A,Annual,USD,US$,2019,,,,53403058.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,34,"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes",A,Annual,A,Annual,USD,US$,2019,,,,110189483.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,39,Plastics and articles thereof,A,Annual,A,Annual,USD,US$,2019,,,,652112192.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,40,Rubber and articles thereof,A,Annual,A,Annual,USD,US$,2019,,,,604437928.0
TPM_HS,Bilateral imports,HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",840,United States of America,356,India,HS,Harmonized System,41,Raw hides and skins (other than furskins) and leather,A,Annual,A,Annual,USD,US$,2019,,,,7493516.0
