IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2019,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2020,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2018,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2021,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2022,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010121,Purebred breeding animals,A,Annual,A,Annual,PCT,Percent,2023,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2018,,,,0
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2018,,,,7
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010130,Asses,A,Annual,A,Annual,PCT,Percent,2019,,,,7
TPA_MFN_HS,"MFN by detailed HS codes (2,4,6 digit)",HS_A_0020,HS MFN - Maximum  ad valorem duty,840,United States of America,,,HS,Harmonized System,010129,Other,A,Annual,A,Annual,PCT,Percent,2019,,,,0
