ProductOrSector,Value_china,Value_india,tariff_differential,china_imports_value,india_imports_value,total_imports,china_market_share,india_market_share,shift_potential_score
Plastics and articles thereof,17773139918.0,7.0,17773139911.0,17773139918.0,652112192.0,18425252110.0,0.9646076923069032,0.035392307693096745,315884502420393.1
Organic chemicals,7652356832.0,7.0,7652356825.0,7652356832.0,2754304821.0,10406661653.0,0.7353325290242335,0.26466747097576654,58558565030690.58
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",4967357318.0,20.0,4967357298.0,4967357318.0,595859846.0,5563217164.0,0.8928929379467956,0.10710706205320443,24674638625341.004
Wood and articles of wood; wood charcoal,2878074425.0,11.0,2878074414.0,2878074425.0,127632363.0,3005706788.0,0.9575366554350677,0.04246334456493232,8283312364180.262
Rubber and articles thereof,2632324311.0,14.0,2632324297.0,2632324311.0,604437928.0,3236762239.0,0.813258471469705,0.186741528530295,6929131241429.084
Pharmaceutical products,1593587971.0,5.0,1593587966.0,1593587971.0,7595599475.0,9189187446.0,0.17341990033010804,0.826580099669892,2539522613347.9565
"Fish and crustaceans, molluscs and other aquatic invertebrates",1479165150.0,15.0,1479165135.0,1479165150.0,2363067703.0,3842232853.0,0.3849754053414732,0.6150245946585268,2187929518787.0454
Miscellaneous chemical products,1284743006.0,7.0,1284742999.0,1284743006.0,321906722.0,1606649728.0,0.7996410067546471,0.20035899324535286,1650564582472.715
"Inorganic chemicals; organic or inorganic compounds of precious metals, of rareearth metals, of radioactive elements or of isotopes",1205245156.0,6.0,1205245150.0,1205245156.0,122504792.0,1327749948.0,0.9077350428937844,0.0922649571062156,1452615878829.9934
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1189977029.0,6.0,1189977023.0,1189977029.0,370522782.0,1560499811.0,0.7625614694803702,0.23743853051962976,1416045322407.8047
"Preparations of vegetables, fruit, nuts or other parts of plants",666598361.0,132.0,666598229.0,666598361.0,124834336.0,791432697.0,0.8422679067048957,0.1577320932951043,444353286896.90265
"Soap, organic surfaceactive agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes",485665957.0,7.0,485665950.0,485665957.0,110189483.0,595855440.0,0.815073463120518,0.18492653687948205,235871418389.06415
Miscellaneous edible preparations,469993572.0,20.0,469993552.0,469993572.0,107929248.0,577922820.0,0.8132462601148022,0.1867537398851978,220893948321.44775
"Salt; sulphur; earths and stone; plastering materials, lime and cement",428354815.0,3.0,428354812.0,428354815.0,119267845.0,547622660.0,0.7822079805828341,0.21779201941716583,183487846248.61978
"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",418861635.0,35.0,418861600.0,418861635.0,350854286.0,769715921.0,0.5441769145892462,0.4558230854107538,175445054614.716
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",388955293.0,7.0,388955286.0,388955293.0,301238331.0,690193624.0,0.5635451842423859,0.43645481575761413,151286217230.0288
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,333996659.0,7.0,333996652.0,333996659.0,15148953.0,349145612.0,0.9566113607637148,0.04338863923628517,111553765885.18567
Albuminoidal substances; modified starches; glues; enzymes,330742273.0,7.0,330742266.0,330742273.0,32175368.0,362917641.0,0.9113425075966478,0.0886574924033522,109390448834.01062
Edible vegetables and certain roots and tubers,317922818.0,30.0,317922788.0,317922818.0,58424431.0,376347249.0,0.8447592452044203,0.15524075479557975,101074908667.37657
"Lac; gums, resins and other vegetable saps and extracts",275285363.0,4.0,275285359.0,275285363.0,490373751.0,765659114.0,0.359540372427409,0.640459627572591,75782029980.90031
"Coffee, tea, mate and spices",269006143.0,6.0,269006137.0,269006143.0,286121547.0,555127690.0,0.48458426384747627,0.5154157361525238,72364303357.69958
"Products of animal origin, not elsewhere specified or included",254888863.0,5.0,254888858.0,254888863.0,12440517.0,267329380.0,0.953463712069358,0.04653628793064197,64968331206.98846
"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",251884344.0,18.0,251884326.0,251884344.0,97842595.0,349726939.0,0.7202314603508425,0.27976853964915754,63445718218.39214
Residues and waste from the food industries; prepared animal fodder,214376612.0,8.0,214376604.0,214376612.0,225876340.0,440252952.0,0.4869396355575147,0.5130603644424854,45957330057.58565
"Preparations of cereals, flour, starch or milk; pastrycooks' products",196100582.0,18.0,196100564.0,196100582.0,137831605.0,333932187.0,0.5872467214428778,0.4127532785571221,38455434730.928246
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",185181463.0,7.0,185181456.0,185181463.0,3327475620.0,3512657083.0,0.05271834358560414,0.9472816564143959,34292172942.55013
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",146875526.0,164.0,146875362.0,146875526.0,241257450.0,388132976.0,0.3784154789259648,0.6215845210740352,21572396050.19041
Edible fruit and nuts; peel of citrus fruit or melons,138454597.0,30.0,138454567.0,138454597.0,61684698.0,200139295.0,0.6917911697450518,0.30820883025494816,19169671276.7945
Sugars and sugar confectionery,123750448.0,12.0,123750436.0,123750448.0,24352047.0,148102495.0,0.8355730131352614,0.1644269868647385,15314171895.195328
"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",70221679.0,7.0,70221672.0,70221679.0,17731605.0,87953284.0,0.7983974651816298,0.20160253481837018,4931083710.027288
"Beverages, spirits and vinegar",68123963.0,18.0,68123945.0,68123963.0,9213077.0,77337040.0,0.8808710935924106,0.11912890640758943,4640873108.594035
Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,55484946.0,19.0,55484927.0,55484946.0,131998414.0,187483360.0,0.29594597621890284,0.7040540237810972,3078578178.408942
Products of the milling industry; malt; starches; inulin; wheat gluten,43227362.0,13.0,43227349.0,43227362.0,54428320.0,97655682.0,0.442650761478477,0.557349238521523,1868604263.523338
Other live animals.,36983926.0,5.0,36983921.0,36983926.0,5000.0,36988926.0,0.9998648244071753,0.00013517559282472813,1367810597.453846
Live animals,36983926.0,7.0,36983919.0,36983926.0,5000.0,36988926.0,0.9998648244071753,0.00013517559282472813,1367810523.485994
Primates,36605133.0,0.0,36605133.0,36605133.0,0.0,36605133.0,1.0,0.0,1339935761.947689
Cocoa and cocoa preparations,34405502.0,10.0,34405492.0,34405502.0,53403058.0,87808560.0,0.39182400895766883,0.6081759910423312,1183738223.816984
"Ores, slag and ash",29803196.0,5.0,29803191.0,29803196.0,2455092.0,32258288.0,0.9238926752715457,0.07610732472845429,888230342.798436
Cereals,24318645.0,11.0,24318634.0,24318645.0,229883575.0,254202220.0,0.09566653273130345,0.9043334672686966,591396227.13093
Vegetable plaiting materials; vegetable products not elsewhere specified or included,23360115.0,4.0,23360111.0,23360115.0,15049946.0,38410061.0,0.6081769825879735,0.3918230174120265,545694879.372765
Fertilisers,21868892.0,0.0,21868892.0,21868892.0,8077686.0,29946578.0,0.7302634711718982,0.26973652882810184,478248437.307664
Photographic or cinematographic goods,16437720.0,4.0,16437716.0,16437720.0,285737.0,16723457.0,0.9829139991809109,0.01708600081908902,270198573.04752
Raw hides and skins (other than furskins) and leather,12105797.0,5.0,12105792.0,12105797.0,7493516.0,19599313.0,0.6176643538475047,0.38233564615249527,146550260.476224
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",9503959.0,25.0,9503934.0,9503959.0,89313478.0,98817437.0,0.09617694294176037,0.9038230570582396,90324999.074706
Meat and edible meat offal,9147344.0,26.0,9147318.0,9147344.0,399693.0,9547037.0,0.9581343405288992,0.041865659471100825,83673664.423392
Tobacco and manufactured tobacco substitutes,775937.0,350.0,775587.0,775937.0,31386893.0,32162830.0,0.02412527131474438,0.9758747286852556,601806.650019
Other,111351.0,1.7142857142857142,111349.28571428571,111351.0,5000.0,116351.0,0.9570265833555363,0.04297341664446373,12398.854313571428
Reptiles (including snakes and turtles),37540.0,0.0,37540.0,37540.0,0.0,37540.0,1.0,0.0,1409.2516
Camels and other camelids (Camelidae),7200.0,0.0,7200.0,7200.0,0.0,7200.0,1.0,0.0,51.84
